; Kenttien järjestys tiedostossa on seuraava:
;rataId | väylä | par
1|1|3
1|2|3
1|3|3
1|4|4
1|5|3
1|6|5
1|7|3
1|8|4
1|9|3
1|10|4
1|11|3
1|12|4
1|13|5
1|14|3
1|15|3
1|16|3
1|17|3
1|18|3
2|1|3
2|2|3
2|3|3
2|4|3
2|5|3
2|6|3
2|7|3
2|8|3
2|9|3
2|10|3
2|11|4
2|12|3
2|13|3
2|14|3
2|15|3
2|16|3
2|17|3
2|18|3
5|1|2
5|2|3
5|3|3
5|4|3
5|5|2
5|6|3
5|7|4
5|8|3
5|9|3
5|10|2
5|11|2
5|12|3
5|13|3
5|14|3
5|15|4
5|16|3
5|17|2
5|18|4
7|1|3
7|2|3
7|3|3
7|4|3
7|5|3
7|6|3
7|7|4
7|8|3
7|9|3
7|10|3
7|11|3
7|12|4
7|13|3
7|14|3
7|15|3
7|16|3
7|17|3
7|18|3
8|1|3
8|2|3
8|3|3
8|4|5
8|5|4
8|6|3
8|7|5
8|8|3
8|9|5
8|10|3
8|11|5
8|12|5
8|13|3
8|14|5
8|15|3
8|16|4
8|17|3
8|18|3
9|1|1
9|2|2
9|3|3
9|4|4
9|5|5
9|6|6
9|7|7
9|8|8
9|9|9
9|10|9
9|11|8
9|12|7
9|13|6
9|14|5
9|15|4
9|16|3
9|17|2
9|18|1
